piano_key,midi_key,note,frequency,lilypond
1,21,A0,27.5,"a,,,,"
2,22,A#0,29.1353,"ais,,,,"
3,23,B0,30.8677,"b,,,,"
4,24,C1,32.7032,"c,,,"
5,25,C#1,34.6479,"cis,,,"
6,26,D1,36.7081,"d,,,"
7,27,D#1,38.8909,"dis,,,"
8,28,E1,41.2035,"e,,,"
9,29,F1,43.6536,"f,,,"
10,30,F#1,46.2493,"fis,,,"
11,31,G1,48.9995,"g,,,"
12,32,G#1,51.913,"gis,,,"
13,33,A1,55,"a,,,"
14,34,A#1,58.2705,"ais,,,"
15,35,B1,61.7354,"b,,,"
16,36,C2,65.4064,"c,,"
17,37,C#2,69.2957,"cis,,"
18,38,D2,73.4162,"d,,"
19,39,D#2,77.7817,"dis,,"
20,40,E2,82.4069,"e,,"
21,41,F2,87.3071,"f,,"
22,42,F#2,92.4986,"fis,,"
23,43,G2,97.9989,"g,,"
24,44,G#2,103.826,"gis,,"
25,45,A2,110,"a,,"
26,46,A#2,116.541,"ais,,"
27,47,B2,123.471,"b,,"
28,48,C3,130.813,"c,"
29,49,C#3,138.591,"cis,"
30,50,D3,146.832,"d,"
31,51,D#3,155.563,"dis,"
32,52,E3,164.814,"e,"
33,53,F3,174.614,"f,"
34,54,F#3,184.997,"fis,"
35,55,G3,195.998,"g,"
36,56,G#3,207.652,"gis,"
37,57,A3,220,"a,"
38,58,A#3,233.082,"ais,"
39,59,B3,246.942,"b,"
40,60,C4,261.626,c
41,61,C#4,277.183,cis
42,62,D4,293.665,d
43,63,D#4,311.127,dis
44,64,E4,329.628,e
45,65,F4,349.228,f
46,66,F#4,369.994,fis
47,67,G4,391.995,g
48,68,G#4,415.305,gis
49,69,A4,440,a
50,70,A#4,466.164,ais
51,71,B4,493.883,b
52,72,C5,523.251,c'
53,73,C#5,554.365,cis'
54,74,D5,587.33,d'
55,75,D#5,622.254,dis'
56,76,E5,659.255,e'
57,77,F5,698.456,f'
58,78,F#5,739.989,fis'
59,79,G5,783.991,g'
60,80,G#5,830.609,gis'
61,81,A5,880,a'
62,82,A#5,932.328,ais'
63,83,B5,987.767,b'
64,84,C6,1046.5,c''
65,85,C#6,1108.73,cis''
66,86,D6,1174.66,d''
67,87,D#6,1244.51,dis''
68,88,E6,1318.51,e''
69,89,F6,1396.91,f''
70,90,F#6,1479.98,fis''
71,91,G6,1567.98,g''
72,92,G#6,1661.22,gis''
73,93,A6,1760,a''
74,94,A#6,1864.66,ais''
75,95,B6,1975.53,b''
76,96,C7,2093,c'''
77,97,C#7,2217.46,cis'''
78,98,D7,2349.32,d'''
79,99,D#7,2489.02,dis'''
80,100,E7,2637.02,e'''
81,101,F7,2793.83,f'''
82,102,F#7,2959.96,fis'''
83,103,G7,3135.96,g'''
84,104,G#7,3322.44,gis'''
85,105,A7,3520,a'''
86,106,A#7,3729.31,ais'''
87,107,B7,3951.07,b'''
88,108,C8,4186.01,c''''
